cleaned_tweet,class
actually non english okiecops filthy white trash criminals,0
make games last season looked astros open yankees st april,2
thought would like cause chi yeah faggot,0
fag got pressed ground hang cleats n never put back think,2
bitch brain damage,1
hoe like,1
swear des hoes making challenges,1
gonn comment cause closet hoes lol team getchoassoutdatcloset lol,1
nothing says fashion like cunt hat,1
entire pats bandwagon faggots,0
good job tonight need eat crackers stop throwing,2
hey leave abbey oh get job slope might move back cause id lose lots money buying tickets,2
studies show faggot,0
nope super chocolatey yummy brownies,2
trash,2
shame mama teach call women bitch well fortunate guess,1
marxist kikes promoted anti semitism creating film incentive promote enemies,2
update pretty much broke g made absolutely annoying retarded,1
faggots drive stick,0
go jerk lollis faggot,0
yea live guess still got roofs fixed charlie jeanne,2
haha monkey feet like real feet magical back smoothes every nook cranny tightness,2
cunt,0
kill coons,0
bird one god creatures,2
eat shit working nappy bitch,1
might really sure weird little bird said might possibility stay tuned maybe,2
birds feather stand peta stand sanity,2
everything jay z writes trash,2
normally would say must great pussy since seen true idk,1
yeah better play ya nigger,0
id chink left blue balls,1
cold going around little hick town everyone know locked houses better week stay well,2
read w slant orig statement said everything extreme comment made,2
yaaaasssss buhlowin timeline negro,1
fuck store bitch,0
inferred tried ho nam dodged great leader,2
bitch,1
thats trash ot,1
btw jim crow laws supported democrats republicans mlk republican fact,2
yes das def da problem teacher spear chucker woulda gt dose rite,2
support illegals coming spreading disease among americans dream bitch,0
msnbc msm said blocking flights africa racist yea right id vote bitch gold digger,1
second add ruined new low picking cripple,2
faggot,1
bullshit bitch show lana kane,1
faggot like side state,0
feel warm fuzzies,2
according place kitchen excuse take trash,2
trash meant u lmaooo,2
yu forgot beat yall thats like garbage man calling janitor trash,2
tranny dragons eh know people love,2
fuck outta faggot even fair,0
glad could get daily dose giggles faggot,1
shut fuck fag ill beat shit outta,0
insecure much put insults one tweet fucking dumbass dude wreck faggot,0
shut niglet,1
beanies steal description u salty fake,2
hate birds piss fact fly,2
janemba better yo pussy ass,1
daggone twins kick notch time beat yankees,2
good thing season firecashman,2
scores matter spring training man,2
fell asleep,2
go away already,2
kind saying braves make world series lol,2
probably time put twitter feed bed nyy,2
team sucks,2
ugh,2
whatever neymar trash,2
hate faggot corny,0
yeah people know trash game limited showed late games portland,2
home coon,2
want poms back lmfao,2
born yellow,2
hahaha made ya eat crow,2
crazy wayne rap pussy songs row,1
lol girrrrl bitches crazzzzy,1
got feelin like trappin dead got ready call guala salute da truth seenitall seenitalltheautobiography,2
gay fags,0
bitch already got past demons seeding gone fuse,1
lol da reason talk bout da present cuz nicca hurt n played yr,1
need start mcbob williams shoot let play bird,2
everybody dot mob red mickey factz battled clips wore ancient hong kong shit different colored hi tops,1
shit ill pay premium get away anything ass hoes,0
bitch,1
someone told cuz ppl like use bitch females like calles female meh shrugs,1
little girl tom sawyer gets trapped cave along injun joe almost die injun joe dies find treasure,2
fasho fasho hurry ya ass nicca,1
lol cracker,1
fuck r u talking told u going tell u nigga love white bitch gtf bro,0
naw nigga em hands happened shit talking couple month ago eat bitch,1
fags,0
fag,0
lol bitch indian op,1
well least going somthing bitch even wrong thing,1
aw drake sit corner cry listen lmfao pussy dick rider drakes cock taste faggot,0
bro u trash zombies,2
lmfao bitch talking,1
yess bitch messyyy,1
skate trash skate goat dlc,2
ahh much bitch live campus get lazy want drive home,1
picture makes look like serious fag justsayin lol,0
tried always hit alt f eat mega stuffed oreos figure programs lol,2
orr thts lor bae tho wyd u fucking hoe,1
faggots old people people drive drunk people,0
fuck brett farve redneck ass stuckup give damn lol campus acting like shit,0
make team niggas trash lol,0
bitches love alex target,1
somebody looks like die first tubes flappy bird lol,2
bird gone run ass,1
tracy morgan sad comparison come try dwight howard accurate stupid monkey,2
niggah,1
derrrrrrr st songs actually good compared trash shes showman omg,2
got beef tell yo boy alex stop acting like bitch bring duck ass,1
miss bitch,1
fags,0
dying oh bitch exit mentions last era huge album tour golden globe cont,1
long story lol missed faggot,1
dont problems zak seem like faggot,0
saves brownie,2
lmao fa real cuz really saw throw dat bitch circle lol,1
bitch,1
faggot,0
nigger hello,1
true idk even convo dumb nigger attention whore,0
lmao stupid nigger,0
yuhh finna hit hoe,1
hell naw fuck bitches serves right,0
yea forgot talkin degenerate faggot,0
real bitch,1
better ima let bitch slide right standby,1
lol bro said bitch u,1
faggot,0
faggot,0
hey fag lt,0
man bitch gonna damn thang u like got say unfollow,0
ask boy jason keiffer still tryna get one one block pussy boy,1
know samklef said lie man guy think beast naija pop music trash wizkid,2
nope stuck house full fucking niggers help escape,0
boys still got birds cage lol,2
shut nigger,0
bitch boy,1
status report making pit stop canada rape bitches,0
yellow rice black beans pork chop sis,2
scanger,2
spread filth urs white dog amp good ol boys ltao fuckin monkey,1
woohoo new black kill cracker babies panthers rescue racist trash thugs ferguson fergusonriot,0
nigger,0
bitch get punched tf lol,1
bitch u forcin talkin family shit watch,1
bitch u got fuckked go suck lil action whamm like u always thursdays fridays think ik u,1
im n hate elissa fake ass cunt,1
oh shut mouth talkin morning fag,0
whooped ass turnin pussy,1
haha bitch team,1
comes guy whose sole qualification cm lucky sperm,2
actually boys right dorky ass mom amp dad watching streit make bitch,1
houston top five ahl attendance aeros transplanted snow bird would love team,2
shit wish socially acceptable beat bitches asses lmao,1
obispo ho big,2
never happen much republican redneck oil money sad butt true corruptamerica,1
go air bad air next brownie,2
small man syndrome usually deep huge pussies join authority compensate weak ego,1
check cashing corner el cajon calwood across steer pollo loco,2
naw dude wish white trash,0
leave dyke,0
death attention hoes,1
ill give tip beware ugly birds hide behind massive lensed sunnies,2
tweet text back ok fag,1
qbs season trash brought veteran could someone play,2
say waste draft pick manziel mallet telling delete account retarded,0
probably yeah accounts personality handle though wear yellow suit puts points,2
faggot,0
give clothes look like cute dyke,0
chink eyed,0
sounds like prenup gonna cash apparently ghetto credit magine,1
sick self serving politicians standing bo trashes america wearerepublicnotregime impeachobama,2
get twitter fag,1
agree naturalized citizenship anchor baby amnesty go parents country origin,2
gotta keep fighting bro thea hoes trying bring thestrugle,1
may jump u ball less dick wad conservative feminist disabled vet bitch wish u luck capital f,0
give flying fuck think tweets worthless teabagger scum,1
mutual lil yellow bone,2
thats youz yellow bone,2
happy birthday queer,0
colored contacts,2
sick bitch,1
im trash ur trash since baes,2
nah replied like literally everyone else called trash go check believe,2
oh drafted gay ass come tv well u welcome redskins nation queers lot niggers,0
pats owner kike,0
pills nig last years like magic j nig hav died years ago first team draft gay,0
nigga hoes suck wayans brothers funny jamie foxx number,0
el negro,2
fucking queer faggot bitch,0
pig bird,2
go sleep bitch,1
ate wees brownie seeing random cats,2
lets say hellen keller makes better brownies,2
salute bad bitch,1
fuck bitch,1
boys need pussy damn,1
still blaming bush fucking retard,1
ya go wetback eat,0
lol fag,1
ur pal threat apostate kufar gt cld cut ur neck w sword islam amp watch u squeal like bitch like daniel pearl,0
sole reason come chipotle incase know keep good work babe,2
cowboy killers,2
trash,2
today talk like pirate day absolutely nobody knew id charlie morton impersonation day,2
call white trash money,0
ud still fag lolz,0
ur fag,0
steak either hurry brownies picture u posted made drool phone,2
white woman pussy,1
positive thoughts nig nog,1
oh state enjoy trailer trash sub par sports,2
since hoser hi,2
hope larger bird,2
yeah cum itch slit baby cakes,1
fucking nigger,0
like new avi twitter retarded shows cubs hat stalk profile show new one,0
cookies sound wonderful,2
long name change al memorabilia w redskins name deemed racist therby illegal,2
lol get yellow bleach stain use baking soda hydrogen peroxide paste stain throw washer,2
mean trash,2
overrun mongrels zog jews run countries want white man perish,0
lmaooooo epic bird wins,2
haha bitch ima draw webb bullets round yo fuggin forehead beamthat bitch know reside,0
nah said fag,0
worked bitch,1
charlie z really need mental help check,2
nobody ever gonna take ass clown serious lil bitch,1
boards still tie dye ones monkey edition black silver newest ones,2
oh phone trash knew,2
bitch,1
took uber yesterday advertised lt ny taxis actually yellow taxi price uber,2
wexican,2
music suggestion lil spook,2
nigga know damn well coon,0
dyke ron,1
heard green tea makes lose weight imma coon explains watermelon,2
bumcia trash smfh would thought would gone khan said makes sense,2
guessing players talking trash,2
fuck yes triple xp nigguh,1
laying rock around lake welcome join redneck workout muscles,2
spelled faggots e cool lol,0
cute fuzzy one hehehe,2
charcoal pre owned sole wear scuffs size cherry ds size,2
trash,2
bumblebees,2
standing btw yellow lines,2
monkey poor bottles,2
u guys fags,0
cause everyone loves yo bitch ass rite yea sure,1
black girls funny talk literate pathetic dick riding die hard fan rofl disgust retard,1
bye ugly hoe please something nasty horse hair weave,1
crystal probably person world interested poor black hillbilly jamaica poor white hillbilly wv idea,2
icanhashtaghoweveriwant bitch,1
subtweeting sister hoe,1
cuz ur bird bitch,1
nigger music,0
racist texas trash gwbush came wh numb remember republicans stole election,2
racist tx trash comparison betwn pres obama n gwbush rt poll show supported,2
charlie please stop ole fart another,2
charlie im old lady ever say ugly things ur childrens mom get jus dont big hug,2
chug tall homegirl approve lol,2
lol trash would kept cute,2
bitch look like fucking white trash trailer park queen lookin man bear pig,0
camels ostriches zebras see races vccamelraces,2
pussy,1
want love gooks awesome get,2
haha shocked barca got yellow cards time,2
walking amp little birds pitch doorstep singing sweet songs melodies pure amp true saying,2
nigga duggy dem dead hoes lol,1
hmu negro,2
cute love yellow raincoat contrast amp hair looks cute p love face icon,2
ho ho ho,2
america today rule thumb doubt blame whitey,0
let guess yellow cake crap different president,2
bitch everything,1
throw faggot word smh smh smh,0
bitch,1
yeah great song watching msg concert yankee stadium gig,2
yasss bitch yasss wonder penny passed,1
youre racist white people whigger anti racist codeword anti white anti zionist codeword antisemite,0
hes behind plate game tonight az im looking buy red amp yellow balkamania shirt tear,2
hold fucking bitch,1
bitch gonna shut shit feel free join,1
ever heard story birds bees,2
sure follow fabulous bitch face,1
maybe baylee ann tater pud nurse fester charlie chainsaws amp mama rot team next time punishermax,2
thank based pee slit,2
niggah shit serious aint one laughing,1
never games obsessed angry birds took long ccs scared lol,2
idk trash though,2
far tell coon tracks cab door window tractor parked trees away home,2
fuck dont let nobody hit pussy either know firm,1
given rickety slant roof say like pizza shanty,2
could say thing woman two functioning chest tables hold peanut butter crackers,2
bitch,1
also need cunt act like something special unprovoked,1
hoe,1
weird local ghetto school haha,2
pussy science donaire via rachel spelling error,2
fuck faggot,0
see jig,2
take trash separate recyclables,2
yes retard,0
humanity really needs get past whole slow stare scene accident ape mentality,2
many fuckin fags even get shouldnt allowed wallet whilst influence haha,0
shake head love trash talk,2
faggot needs grow,0
good job texting back faggot,0
rap part problem cause bad bitch,1
true dat nig,1
reading coon,0
people followers followers truth still niggers outlook mind amp,0
thanks ignoring texts fag,0
ghetto fool,2
gotta like n twins chug everyone,2
sounds like hysteria bird flu years back lower mortality rate regular flu,2
every bitches claim,1
goddamn bird trying say yoburger better guys,1
hope fuzzy head doesnt tickle much,2
wondering yo espect add mo colored tv stations befo renew dis,2
gots da bet da msnbc wit dat colored reverend listen coloreds else missing,0
pussy ill show u good turbo lol,1
suck dick tacos el negro better,0
kinda screwed guinea pigs experimenting taste instead got interesting results,2
nope never taken neighbors actual stuff wifi acct info trash cans super easy,2
one current yankee sells one current bosox sells one player l team sells teams yeah,2
kids one queers,0
thought bitch,1
bitch fall nothing bet take licks,1
coons monkeys like disgust minstrel show negro crying shit time disgrace everywhere,0
kid sold brought back cooked brownie,2
hire colored folk work half da day throw da mail da sewer done,0
money get good weed always best pussy sorry friend guess,1
pussy,1
hv loads cushion soles would feel good ur dick,1
ghetto black,2
jordan trash,2
everytime pro teams gb tourneys get schmanged im fanboying im saying think u say trash,2
trash snd stars would scrape ur team snd pro teams,2
first second third mistake hearing wus trash tho kinda wan give listen kinda dont,2
nips,2
bitch sees attack muslims idea maths,1
cool beaners,2
cool beaners got home ready keep couch floating away lol,2
know feel wait perfect week would yanks getting lee gosox gopats,2
quick game sox yanks hope get home soon,2
sorry bout yanks earl uya like ws,2
would yankees earl know win,2
ghetto driving nice car pay lot rent drive lexus pay little rent saying,2
shirt trash leaving room mess,2
teaching pretend son b pussy son would lace jock strap,0
jigaboos aka homewreckers needs get blocked,0
yeah sorry monkey team keeps kicking ppl waiting muh pizza,2
toma eso negros,2
pinche panamonos negros dan asco,2
cares tbh ones shitty dirty argentino amp feather fisted nigger,0
im assuming mickey bubbles,2
sounds like gypos used time lived,2
youre cheating mickey bubbles,2
gook,2
wasp eggs,2
dayum saterlyt shoz un bayg ho ul,2
clever monkey,2
mr mrs trash,2
bu hate playa yankees hate yankees payroll hate dodgers,2
hate yankees though right feel like really good hating,0
hate cowboys yankees,2
hey dont u get involved black black situations cause hate whitey b honest mikebrown,2
stop blowing spurs pussies halftimespeech,1
pussies,1
one bitches make money,1
hey teabagger law made felony keep collect records get facts straight,2
discredited per government study good factual pay bills moocher teabaggers republicans,2
huge yankee fan enjoy,2
birds feather go away,2
thanks hoe,1
pussy ur mouth really good stress reliever doctors recommend,1
think u need massage pussy mouth make u feel less stressed u think,1
yeah sucks like fags oh nevermind fags nfl,0
got sole,2
uk fag means cigarette faggot bundle sticks homo,0
vertical nip bars already horizontal ones think look hella cute,2
also put touch ned chuck mix,2
fran hillbilly virginia mountain man pre white anglo saxon beliefs frankensteinmd kikme,2
fuck frank pussy,1
saw actual tweet scanning jihadi accounts put screen shot aid workers r spies,2
fuck spear chucker,0
lmao bitch dumb slap,1
tyler makes think lil nigger baby hoodrats,0
would make great baby bird pic bruh,2
fight hoe,1
rt see watch finna hit hoe put,1
wow u hoe term women,0
hate japs aint forgetting gettin japped either,0
whatever hoe bitch fags beat yall sad asses,0
fags,0
literally told face trash shop hooping,2
tits may better looking face makes like asian latina tranny facts,0
look like welfare bitch compared latinas date fuck need fashion makeup tips tbh,0
job us prez protect us throw trash ebola er cost daniel money amp lives dog,2
lol faggot hid moon boss helping,1
mean bro fucking faggot,0
die car accident faggot,0
via,2
think guinea pig okay,2
faggot,0
puppets like intentionally forever cripple people ability unify eco political consensus,2
referring second put vick slot play trash,2
worst terrorists republican teabaggers,2
guys company best year ever obama conservative teabaggers scum,2
ur sassy white trash change ur username,0
bullying know u could bully internet bitch came idk u mentions bruh,1
yes true reagan first ike wouldnt president supreme allied commander,2
understand trash cans dumpsters everywhere wait till go somewhere one,2
btw happy birthday charlie get better soon,2
stay safe charlie,2
place ho garden,1
pudding right pussy,1
lax gun laws ur retarded murder bcuz one defend crooks guns,2
learn type ya hillbilly,0
real girls like impress bitch,1
humans evil man cutting tusks beautiful animals chinks think get hard,0
chris stop angry bird spitting n dana go hail ur racial tendicies u infor carter rt n u never talk abt,2
jimmy want talk trash would could chris stop talking spitting,2
stupid bitch apparently,1
indeed nigga used use nigger,1
diaval gets pass virtue mostly bird,2
last year explain queer theory acceptable academic term,2
merry christmas hun,2
nd kno much love clams lol,2
kno love stuffed clams bai,2
stop half breed starting learn makes dumb ass,0
sure colored,1
nigger,0
ayy might well get fat hoes even like abs nomo like balla bellys,1
bitch u u look like full breaded cracker,1
probs fag vhia,0
repeat u white trash,0
yellow cake amp chocolate frosting,2
looks like pretty dyke,0
kept border open disease central america lowest workforce part since carter yep real boon nc,2
u pull fucking retard,0
bitch even know wtf r u talking nigga stop fucking dreaming,1
yo fat ugly ass even pull ugly bitch school,0
make animal cracker taco,2
mammy push white baby like bitch,1
like bitch gram,1
nerve hoes,1
hoe suck,1
nice way callin honkies,0
chunky,2
hairy like monkey p,2
fuckin bitches talkin shit bout get hit,1
never orderin colored pizza stow,2
see da dayd presidents coz bitches hoes makin money day way,1
bitch,1
monkey look like,2
trash,2
honky tonk badonka ankh,2
yea ima spin yo hoe,1
happy birthday faggot,0
top notch bitches,1
see feel betrayed racism comes shocked call uncle tom bitter loser,2
trash,2
funny trash,2
unloyal retard,1
hoser eh,2
going blame black man since always blame whitey equal opportunity hater,0
simmons acted like bitch doc left la,1
last planet apes kids minute,2
nice lie teabagger want see make real like reagan conservative another huge lie,2
gt get past boot camp go active years see really daily liberal pussy,0
also recommend pack shiner bock hours brisket duty pit feeding oak coals,2
haha bitch really tho good catch yo pretty fun last time chilled,1
ouuuuufffff see pussy,1
eat shit nigga bitch turd bag dick beetle,0
bitch sure,1
playas fuck lmao like trash forreal crazy one see,1
spear chucker hell,1
looks ghetto fuck,1
trash talker brah polite diplomatic court,2
see flipping bird,2
pick sc take us nip cr,2
weird see local yokel journalist get worked enough take pointed side though thought impartial,2
care saying calling someone bitch still calling someone name,1
fucking bitch,1
nigga bitch u fucking cracker get gay ass mentions,0
real gangsters knoww nate aint never loved hoe,1
th incompletion slants looked like better options shame youth amp lack trust going,2
haha hoes go hard nigga stooooned lol,1
yeah niggas straight bitches,1
yeah one wanted followers gotta work bitch,1
fag,0
partially glad say hi ho kermit frog slip kermit voice well,2
racist ntx trash w hate see particular man wh n butler,0
hey teabagger bohner said got wanted sequester sound like moron everyone knows lying,2
ehh tough yeah lol jk course niglet,1
terms like honkey cracker peckerwood stereotypes white people fucking kids sisters racist sweet,0
way dude fat diet twinkies devil breakfast tacos miss breakfast tacos,2
totally smells like brownies every day walk work,2
bird hats gt every hat,2
bird hat hats hats beat,2
find new hillbilly spiritweek,2
fact start profit university would sole requirement graduation,2
ha actually going see yankee game weird sounds uncle house nj hour away,2
could get matching burner phones ghetto fab months,2
bernstine chi sox jew fag,0
fag,0
thats rooting team hate banwagoning u retard u different favorite,0
ill fucking merk bitch dude dont fuck,1
minute red n yellow rent signs go reg ppl start selling n move,2
love racism blame whitey everything mention bet white man put desert tortoise bundyranch,0
better called kid pussy,1
pussy,1
argie,2
nat def shiner,2
heard hillbilly grumblings bugs worse recent years mic shutdown,2
blue cheese crackers intrigues repulses time,2
oh shut faggot get disease overused twitter,0
bitch yesssss make girls mad,1
stegosaurus hissed like snake pterodactyl sounded like crow rex like cross parrot elephant,2
guy maine coon total cuddle bum every one ever met super friendly,2
quote tag bitch,1
retarded,0
also nack autocorrect changed putting phone trash going sleep,2
fag,0
understand stop venting bitch give much insight life amp people deserve,1
nigga fucking champ straight bitch bout shit bitch made,1
stupid little cunt thought get lower dare spit people fucking fans,1
god bless whitey sleepin tomorrow,2
quit bitch,1
lol one flavor think yellow idk yea bomb,2
yeah one called race traitor lol,2
aka wanna keep warm shoulda introduced coons,2
let coons great dream,2
u gotta slow coon hrs know love n hip hop lebron amp fake love quotes,0
judge monkey,2
stink shut hole amp perform tricks like good trained monkey,2
washington post call president ignorant ask racist angry bitter bitch look mirror,1
bitch back taken,1
hey need foul language kike,2
call trash,2
suck ass bum ass yankees foh,1
poor coon snow stopped wind would might nice well winter,2
know bitch,1
like worst lyrics post beautiful know talking trash,2
forget nappy headed butt ugly bitch married muslim,0
beauty brownies always daydream hit powerball lol nerdy fun,2
nah dude mostly sound like faggot,0
safe bruv welcum twitter niggur,1
law clam chowder must served im bread bowls haha,2
pretty easy actually cashier right eating animal crackers lolol,2
time bonfire saturday hoe,1
nope got lucky washing slopes gonna make little rough combining feeling fortunate today,2
shy glizzy,2
know im kidding bet funny love blacks call eachother ignorant niggers makes,0
bitch tf dumb going someone else told u shut shit,1
naw really bitch mean yo address,1
fuck still talking shit acting like pussy ass nigga,0
u going talk shit another state dat pussy shit,1
real pussy ass nigga would give fuck u think lmao stfu,1
going hurt bitch ass feelings,1
bitch really fucking like fuck even talking,1
bitch talking u stfu get page oh bitch nigga u bout life,0
catch hoes saturday meet plano senior high,1
let say clearly since retarded ass understand,0
would u know fuck exactly wtf got shut retarded ass,0
say sound like little bitch nagging shit u,1
lmao ur dad raised u bitch made nigga,0
meet stop hitching back words pussy,1
nigga went go get homeboy texted u naw u bitch,1
nigga u called bitch last time check im fucking nigga get ill show u real fight like,1
oh lame yo pussy ass show fuck u talking bout oh scary ass white boy,0
oh grades say wise u stfu get twitter u box simple ass pussy boy,0
u feel like dumb ass u pussy boy,1
fucking retared even funny bitch im going sleep u,0
alright fag,0
home fag feel like puttin shit today,1
mean crowd crows,2
nigga safe hoe,1
fuck bitch,1
lmaooo call phone want birds migos voice,2
watch watch tv hoe,1
shut bitch spit,0
owe anyway hoe need interest shooting shit,1
roberts fuckin fag smack shit outta,0
faggot,0
stop oppressing heard free speech stop shoving lifestyle throat st amendment tcot teabaggers,0
stfu dyke looking hoe,0
least im black bitch parents left mcdonalds parking lot born,0
may hustlin studied critical race theory people holder getting revenge hate whitey,0
hopes dis cause colored cause knows actin nigga like,0
gimme one mouth closed draw teeth without making look retarded omf,1
fuck yo bitch ass,1
fucking gay faggot look gay ass pink shirt haha,0
better nig lol anything ill flip u something im tryna get cash,0
give tankees mean yankees maybe next year,2
ha ha ha good fat dyke,0
kris griff ghetto know anything sperrys vans,2
fight expose hoes super gay shit anything negative since society works,1
call cock blocking faggot,0
bitch im smd hoe,1
lady bligh bitch got natty daddy fridge turnup,1
many hoes,1
wait n nick mick,2
slopes us bro hahaha,2
talking trash since,2
faggot,0
quit bitching faggot happy cant see faggot family cry baby little girl crying parking lot aint man sissy,0
hurt little faggot,0
niggas probably watching like look uncle tom ass rasta,0
strong force leprechauns,2
way fuck bitch,1
nah would probably call obsessed faggot also nice try though,1
bitch called yu back,1
wait see bitch tmrw gatsby l py,1
nigger,1
likes dat magazine da black folk look like dey one chromeasome away da ape,0
skipped running eating chips brownies,2
eh take hoser,2
bitch,1
approximately one crash supposed many members seal team one bird,2
omg plz stop calling idiot kindergarden fucking faggot,0
see ud get pussy u pussy,1
mk hun textith,2
none business nigga get living lol stealing one bitches k,0
lol getting early bird catches worm,2
video made porn actress sexy capri anderson kissing video charlie sheen via,2
faggots,0
slavery prohibition letting women vote segregation jim crow laws etc etc day lol,2
right around nig,0
idk ur saying probably desperate pussy,1
u call ur bestie bitch guessing dog barks much,1
mock anything asked believed noah arc said mocking religion opinion,2
lmao dude probably biggest fag nebraska,0
stfu white trash,0
gayer faggots bed together,0
extra yellow,2
yellow even better,2
nfl stadiums play music jay z former drug dealer whose diaphragm wouldnt work w saying nigger every song,1
mention called nigger wrong witch agree amp bossy wrong called pimp still ok,0
groves trash imo,2
niggress thinks human,0
agree take ethiopian starvin looking nigger ass back africa buyfoodlittleguy,0
fake pics get tl u r dismissed muzzie,2
mean distracted bitch,1
white people need weapons defend subhuman trash sort unleashes us,2
racial minorities criminally inclined much worry act color race traitor,0
lmaoo abo crusty hands,2
trash us another conference say goodbye,2
scrolling tl ol sick ass bitch,1
make brownies,2
understand need multiple autopsies guess going keep slant officer,2
someone recently told local yokel going use twitter account damage yeah,2
live eye white trash hurricane milwaukie people use bikes bc dui save environment,0
jim crow laws segregation lynching laws anti womans suffrage laws amazing everyone doesnt want bring,2
speaking time tryna make look bad like eating pussy,1
else expect nigger lover,0
guys pussies,1
thats life hoes gonna hoes could blame tammy,1
birds feather,2
coaches dont put positions successful offensive struggles put gardner program trash,2
wow thats great language coming hs coach sure role model trash like account,2
lookin good mick,2
shut dirty dirt trap limp knees ashy footed blue balls isolated hamster wheel nipples bitch,0
need stop picking ufcs trash though build fighters,2
congratulations officially fucking retarded,0
favorite drink white trash everywhere,0
talentless skag wardrobe malfunction,1
fight fucking obese niglet,0
really right bed put dam yellow starburst throws window,2
ignorant cunt,0
person actually holding ape paris sister,2
okay let fight ginger faggot,0
never said wanted fuck tranny,1
tranny,2
queer gnarles charles,1
well genos ultimate faggot,0
oh really fags gross aids infected sick fuckers,0
helmets destiny trash wish could rock invisible bubble instead hunters look like robocop,2
spaceship shit retarded,1
glad uncle another stupid faggot world hopefully next,0
see picture smoking man god disgraceful nig sir embarrassment,0
lol profane words bwahahahahahah mad gay faggot fuck boi get bitch ass nigga,1
nee dat na langdurig gepest worden zoals ik al zei kiem smoren ook vb voor kind hoe je moet optreden,2
pumprules bravo quality trash,2
come bro bird stressful,2
apologize morgan bitch blind whole seconds,1
chik fil hipotle trash taco bell give runs,2
dont think celestial dragon killed,2
ignorant cement headed hillbilly said taxing cant fuckin read fucking knob gobbling douchebag,0
need monkey bars tricycle,2
jesus walks bitch,1
called cunt,1
called hoe lol,1
ily work bitch even battle ready blades,1
come wage us fag,0
lol always scheming dude jaime needs keep hoe leash mean sister lol,1
steek morele vinger maar j neus zelfde soort types bij nato stenigt vrouwen bosjes,2
continue dis later back bitch,1
naaaa faggots guess around long would ya,1
thank jackass zebras,2
bunch pussies,1
whatever fucking pussy,1
aka lonely bitches,1
bitch fuck amp dad,1
niggers,0
explains waving trash bags around heads,2
seems dont come trash nobody outside hollywood knows ppl pay see ha guess hw dont,2
fuck bitch bout u get bitch ass nigga stupid ass,0
like peaceful boring like fighting come ghetto u remember p impossible,2
everybody look bird killing wind mill lover,2
lmao whore life bad day better good day ever fuck day bitch haha,1
making clams betting hope living,2
lmao yes kind like ghetto yet amp says u feel,2
knew faggot though,0
lived attest trust muzzie nation million light years,2
mad libs cool uh twinkie long dj pon cameo magic crystal tree tngseason finale,2
trash,2
red yellow,2
like charlie chan style never saw either hmm makes think cockneys killzone series,2
hit bitch like see bruises,0
hoe,1
remember dad running rotary hoe corn freeze knock dead leaves turn brown,2
fucking faggot,0
parental unit trash,2
always one never realize worst unsolicited unaffiliated trash talker,2
bitch got arms like piccolo,1
yeah sting already proven draw apples oranges signs people sole purpose burying,2
funky monkey,2
day feel bout colored folk,2
fag,0
yeah right know mexicans bringing family hoe finna packed,0
shut arsenal already bitch,1
fuck doubt piece white trash say proudly,1
whoa easy amy slag canucks much generalization,2
yeah want shoot son bitch lol,1
go could hook plant city faggots,0
surprised could read slits eyes,0
best story time visit yellow friends,2
viswa moulie wanna ur friend please shall,2
ugly dyke,0
bitch,1
hate men much trying look like one stupid little cunt,1
yes stalking weird people many things pr chat,2
btw genocide war people gaza combatants people warsaw ghetto,2
bitch dont hate,1
unexplainable,2
hey rachel g name isint kenneth ok let get straight best backing go ghetto,2
grow pair pussy,1
old cunt needs die,1
dubya hates todays teabagger movement,2
gets cold yall gonna trash lol,2
see guys later gotta go bake blood crackers,2
impressed anybody could chug smirnoff ice quickly,2
course win lose always exciting matches spilt blood trash talker,2
hollywood underwood took shirt started screaming dark hah like horror movie nips,2
stfu u ugly dyke,0
looks like reg memphis tn trash got everywhere,0
bitch might aesthetic,1
lol gotta let hoes know pow pow aint want gt gt,1
lt poked little pussy stick curled little ball like pill bug,1
go gulls first grade cracker physical,2
right link would trash bin gotcha,2
yeah didnt wana bring pussy us tell us could go find one mexican city full,1
nigglet send pictures,1
yeah cripple getting clean helped call fair either way,2
bitches wallet tigher pu,1
boring amp hack allah mohamed also fags please mention well god take away balls punishment,0
hoping went mr chow part hangover die dumb bitch ass sloot,1
oh yeah fuck lakers bitch boi,1
yellow,2
bout trash huh,2
guys number yankees looks like uncle stevie lmao im dying,2
actually kill bitch,1
like never gave camera bird,2
faggot,0
cody always calling people nigger fucking spaz,0
chug ranch,2
negro amigo pulled gun nate weeks ago stoked,0
hey hillbilly jim greg hammer valentine pffttt,2
bc deleted visionary saw subtweet next time tho love jail bird dresses,2
happens date colored,0
im going murder fucking cunt,0
made fun suicide attempt mellie bitch fuck season,1
ugly white bitch,0
ur ballsack hairy gtfo tranny prude bitch,0
bamoose prophet right thy hoes loyal,1
back nigger music decent,0
like make bitches move,1
negative slopes aka chart grades math,2
bitch u ugly hoe,0
bitch pull hoes u dream,1
could fag like bitches please tell,1
oh make brownies alright,2
youre fag,0
bad though drawing conclusions white america based person poll slippery slope,2
faggot,0
yeah real pom maven,2
yall defense trash,2
cactus yellow lab chow mix hershey everybody active buddy cactus one special pup angel,2
jets trash bad see meant,2
song pollo hermanos heisenberg,2
assume tranny went morning maxima,2
great reply except trash,2
civic lx stick green shitty paint beaner ass wheels k miles ac insurance,1
bite promise friendly bird,2
bro swear god bout txt dex hoes,1
hell naw star team lol sure white honkey called nigga,0
like ion care bitch susie work broke man tellin whole story blah blah blah,1
try bitch boy,1
chill ur pussy gay af,0
either trolling retarded,1
